vender_id,shop_id,fans_num,vip_num,shop_reg_tm,cate,shop_score
3666,5330,0,0,,,0
7288,1047,762,1017,2014-11-3,,-1
4674,2265,2294,21925,2014-10-17,,-1
5217,3200,9527,53231,2014-10-25,,-1
8057,443,211,336,2014-10-29,,-1
7101,7237,5279,14614,2014-10-21,,-1
3807,9520,337,444,2014-10-17,,-1
8699,3516,208,101,2014-10-21,,-1
3690,3145,695,5319,2014-10-28,,-1
1174,9514,711,1027,2014-10-17,,-1
40,1138,329,9150,2014-10-13,,-1
4494,859,203,13,2014-11-20,,-1
5381,9369,6782,84274,2014-10-10,,-1
5256,2586,2675,5935,2014-10-8,,-1
7392,4451,199,300,2014-11-21,,-1
3821,4435,193,0,2014-10-17,,-1
4536,4602,1570,7056,2014-10-15,,-1
8668,9133,981,7073,2014-9-19,,-1
971,828,406,20071,2014-9-10,,-1
8638,4755,411,3290,2014-9-18,,-1
6382,6693,552,1501,2014-9-2,,-1
5794,7845,1116,9290,2014-8-29,,-1
568,890,282,609,2014-8-22,,-1
8342,8761,287,5571,2015-4-13,,-1
357,7510,321,984,2014-8-28,,-1
8195,720,1585,4777,2014-8-21,,-1
3519,4568,337,2494,2014-8-14,,-1
1333,8893,254,498,2015-8-7,,-1
8825,3060,2596,7467,2014-8-21,,-1
2151,4912,209,18,2014-8-19,,-1
4049,2250,222,78,2014-8-14,,-1
2452,6294,207,27,2014-8-20,,-1
451,4244,1375,3313,2014-8-27,,-1
4074,8874,1465,13531,2014-8-6,,-1
6007,7144,237,1276,2014-7-30,,-1
7206,3372,757,12082,2014-7-29,,-1
7028,2330,571,4653,2014-7-28,,-1
2068,9795,480,1967,2014-8-12,,-1
3047,9475,215,38,2017-6-21,,-1
4563,3457,1276,1985,2014-9-9,,-1
5320,9299,2978,13781,2014-7-26,,-1
2041,2911,303,1094,2014-8-6,,-1
8317,6457,329,5116,2014-7-21,,-1
4078,5062,576,1411,2015-1-15,,-1
1130,3187,4508,21474,2014-7-15,,-1
9130,8890,238,151,2014-7-15,,-1
3465,4362,746,11162,2014-7-28,,-1
5216,9924,257,488,2014-7-16,,-1
3299,3562,962,7153,2014-7-19,,-1
5783,9240,985,5155,2014-7-15,,-1
531,5573,399,9938,2014-7-5,,-1
3375,10238,8792,29348,2014-7-3,,-1
2763,2769,139,562,2018-4-12,,9.5285
5313,2025,24756,1690,2018-4-13,,-1
8447,10108,299,6228,2018-4-12,,-1
3710,9064,992,6033,2014-8-5,,-1
6228,824,20653,1546,2018-4-13,,-1
1868,7468,4230,4631,2018-4-11,,9.513926
6685,3092,1808,16573,2018-4-12,,9.781299
2556,6706,583,4340,2018-4-13,,-1
9445,4257,5314,2349,2018-4-11,,9.818579
7588,3897,179,509,2018-4-12,,-1
402,6505,1693,12089,2018-4-11,,9.578311
8248,4325,540,2380,2018-4-9,,-1
4337,10248,21049,2669,2018-4-6,,9.520271
3790,4370,3081,4543,2018-4-4,,9.97821
924,2895,331,2924,2018-4-7,,9.983076
6212,2500,9,301,2018-4-6,,-1
9634,5611,67,366,2018-4-4,,-1
2881,4171,23265,11207,2018-4-4,,9.828769
7943,4610,523,2170,2014-7-8,,-1
1394,5409,196,4288,2018-4-13,,9.609017
6302,1773,81,487,2018-4-3,,9.623666
5064,41,19521,73641,2018-4-3,,9.937288
6741,8108,177,760,2018-4-3,,9.783528
3502,1875,12891,3397,2018-4-4,,9.721479
1076,7269,185,1152,2018-4-2,,-1
1637,7459,23194,3771,2018-4-10,,-1
9345,406,23809,4557,2018-4-11,,10
