,customer_id,time_browse,time_Order,cate_most_browse,cate_most_Follow,cate_most_SavedCart,cate_most_Order,month_buy,month_Cart,month_active,week_buy,week_Cart,week_active,last_browse,last_SavedCart,last_Order,interval_buy,browse_not_buy,cart_not_buy,buy_again
0,1174854,上午,,Phone,,,,,,,,,,39.0,,,,是,是,未购买
1,455341,下午,,Coat,,,,,,1.0,,,1.0,23.0,,,,是,是,未购买
2,478893,上午,,Air Conditioner,,,,,,1.0,,,1.0,28.0,,,,是,是,未购买
3,95399,晚上,,Phone,,,,,,1.0,,,1.0,16.0,,,,是,是,未购买
4,746439,晚上,,Milk Power,,,,,,,,,,48.0,,,,是,是,未购买
5,1482973,上午,,Tablet,,,,,,,,,,45.0,,,,是,是,未购买
6,1080218,下午,,Phone,,,,,,1.0,,,1.0,26.0,,,,是,是,未购买
7,936385,下午,,Phone,,,,,,1.0,,,1.0,0.0,,,,是,是,未购买
8,1258325,上午,,Rice Cooker,,,,,,1.0,,,1.0,30.0,,,,是,是,未购买
9,859015,下午,,Phone,,,,,,,,,,48.0,,,,是,是,未购买
10,361740,晚上,,Refrigerator,,,,,,,,,,69.0,,,,是,是,未购买
11,586204,下午,,Cookie,,,,,,1.0,,,1.0,21.0,,,,是,是,未购买
12,47781,晚上,,Phone,,,,,,1.0,,,1.0,16.0,,,,是,是,未购买
13,113489,下午,,Phone,,,,,,,,,,34.0,,,,是,是,未购买
14,1048364,"中午,下午",,"Phone,Tablet",,,,,,1.0,,,1.0,5.0,,,,是,是,未购买
15,1424651,晚上,,Phone,,,,,,2.0,,,2.0,0.0,,,,是,是,未购买
16,1000592,中午,,Phone,,,,,,1.0,,,1.0,12.0,,,,是,是,未购买
17,1368605,,凌晨,,,,Induction Cooker,1.0,,1.0,,,1.0,,,21.0,,否,否,否
18,158392,上午,,Coat,,,,,,1.0,,,1.0,28.0,,,,是,是,未购买
19,1604852,中午,,Television,,,,,,1.0,,,1.0,16.0,,,,是,是,未购买
20,652057,晚上,,Facial Moisturizer,,,,,,,,,,48.0,,,,是,是,未购买
21,1099204,"上午,中午",,"Face Cream,Phone",,,,,,1.0,,,1.0,3.0,,,,是,是,未购买
22,712734,晚上,,Tea,,,,,,1.0,,,1.0,17.0,,,,是,是,未购买
23,1551750,晚上,,Facial Essence,,,,,,,,,,71.0,,,,是,是,未购买
24,857999,下午,,Tea,,,,,,,,,,42.0,,,,是,是,未购买
25,913866,上午,,Football,,,,,,1.0,,,1.0,22.0,,,,是,是,未购买
26,537819,,,,,,,,,1.0,,,1.0,,,,,否,否,未购买
27,243580,晚上,,Phone,,,,,,3.0,,,3.0,1.0,,,,是,是,未购买
28,1090454,晚上,,Xbox,,,,,,,,,,69.0,,,,是,是,未购买
29,1308909,晚上,,Phone,,,,,,,,,,73.0,,,,是,是,未购买
30,1579416,,,,,,,,,1.0,,,1.0,,,,,否,否,未购买
31,472858,晚上,,Coat,,,,,,1.0,,,1.0,26.0,,,,是,是,未购买
32,152107,晚上,,Phone,,,,,,,,,,53.0,,,,是,是,未购买
33,131374,中午,,Washing Machine,,,,,,,,,,40.0,,,,是,是,未购买
34,74509,,中午,,,,Facial Moisturizer,1.0,,1.0,1.0,,1.0,,,7.0,,否,否,否
35,1602314,中午,,Facial Essence,,,,,,,,,,56.0,,,,是,是,未购买
36,1342079,中午,,Bed,,,,,,,,,,42.0,,,,是,是,未购买
37,1436914,晚上,,Lipstick,,,,,,,,,,40.0,,,,是,是,未购买
38,731582,晚上,,Phone,,,,,,,,,,31.0,,,,是,是,未购买
39,1563449,中午,,Phone,,,,,,1.0,,,1.0,30.0,,,,是,是,未购买
40,843272,晚上,,Eye Shadow,,,,,,,,,,36.0,,,,是,是,未购买
41,732392,中午,,Milk Power,,,,,,,,,,47.0,,,,是,是,未购买
42,7596,下午,,Badminton,,,,,,1.0,,,1.0,5.0,,,,是,是,未购买
43,485130,晚上,,Phone,,,,,,,,,,36.0,,,,是,是,未购买
44,1515630,下午,,Phone,,,,,,1.0,,,1.0,21.0,,,,是,是,未购买
45,156098,晚上,,"Coat,Washing Machine",,,,,,,,,,36.0,,,,是,是,未购买
46,1382502,上午,,Phone,,,,,,1.0,,,1.0,21.0,,,,是,是,未购买
47,1193970,晚上,,"Phone,Tea",,,,,,,,,,55.0,,,,是,是,未购买
48,305515,晚上,,Phone,,,,,,,,,,67.0,,,,是,是,未购买
49,1219067,下午,,Necklace,,,,,,,,,,47.0,,,,是,是,未购买
50,93895,下午,,Tea,,,,,,1.0,,,1.0,16.0,,,,是,是,未购买
51,830303,下午,,Coat,,,,,,,,,,42.0,,,,是,是,未购买
52,438478,晚上,,Tablet,,,,,,1.0,,,1.0,17.0,,,,是,是,未购买
53,1566176,晚上,,Phone,,,,,,,,,,32.0,,,,是,是,未购买
54,220396,中午,,T Shirt,,,,,,,,,,51.0,,,,是,是,未购买
55,1246948,晚上,,"Coat,Phone",,,,,,1.0,,,1.0,11.0,,,,是,是,未购买
56,749646,晚上,,Phone,,,,,,1.0,,,1.0,2.0,,,,是,是,未购买
57,843315,"上午,下午",,"Coat,Phone",,,,,,,,,,37.0,,,,是,是,未购买
58,917936,中午,,Bed,,,,,,1.0,,,1.0,1.0,,,,是,是,未购买
59,184167,上午,,Phone,,,,,,,,,,63.0,,,,是,是,未购买
60,550478,,,,Coat,,,,,,,,,,,,,否,否,未购买
61,780640,晚上,,Phone,,,,,,,,,,61.0,,,,是,是,未购买
62,397850,,,,Phone,,,,,,,,,,,,,否,否,未购买
63,803015,晚上,,Perfume,,,,,,,,,,43.0,,,,是,是,未购买
64,897911,,下午,,,,Milk,,,,,,,,,41.0,,否,否,否
65,364191,下午,,Washing Machine,,,,,,1.0,,,1.0,24.0,,,,是,是,未购买
66,32330,晚上,,T Shirt,,,,,,,,,,67.0,,,,是,是,未购买
67,1009534,上午,,Coat,,,,,,1.0,,,1.0,17.0,,,,是,是,未购买
68,447453,上午,,Phone,,,,,,1.0,,,1.0,30.0,,,,是,是,未购买
69,3142,,,,Phone,,,,,1.0,,,1.0,,,,,否,否,未购买
70,1512674,下午,,Face Cream,,,,,,1.0,,,1.0,14.0,,,,是,是,未购买
71,816445,下午,,Tea,,,,,,1.0,,,1.0,24.0,,,,是,是,未购买
72,367864,,下午,,,,Air Conditioner,,,,,,,,,46.0,,否,否,否
73,1594298,晚上,,Notebook,,,,,,1.0,,,1.0,21.0,,,,是,是,未购买
74,185479,下午,,Coat,,,,,,,,,,69.0,,,,是,是,未购买
75,396222,下午,,Phone,,,,,,1.0,,,1.0,2.0,,,,是,是,未购买
76,320892,中午,,Phone,,,,,,,,,,55.0,,,,是,是,未购买
77,930591,晚上,,Phone,,,,,,1.0,,,1.0,5.0,,,,是,是,未购买
78,686019,晚上,,Running Shoes,,,,,,1.0,,,1.0,5.0,,,,是,是,未购买
79,336118,上午,,Phone,,,,,,,,,,32.0,,,,是,是,未购买
80,530487,"凌晨,上午",,Candy,,,,,,2.0,,,2.0,9.0,,,,是,是,未购买
81,1530356,"凌晨,晚上",,"Bed,Coat,Phone",,,,,,4.0,,,4.0,3.0,,,,是,是,未购买
82,69631,中午,,Cookie,,,,,,,,,,64.0,,,,是,是,未购买
83,1401526,"上午,下午",,Coat,,,,,,,,,,41.0,,,,是,是,未购买
84,1300581,晚上,,Digital Camera,,,,,,,,,,58.0,,,,是,是,未购买
85,359465,下午,,Tea,,,,,,,,,,42.0,,,,是,是,未购买
86,756580,晚上,,Phone,,,,,,,,,,52.0,,,,是,是,未购买
87,935676,"中午,晚上",,"Foundation Make-up,Notebook",,,,,,1.0,,,1.0,28.0,,,,是,是,未购买
88,1025266,上午,,Induction Cooker,,,,,,1.0,,,1.0,27.0,,,,是,是,未购买
89,1445724,晚上,,Notebook,,,,,,,,,,38.0,,,,是,是,未购买
90,1569262,中午,,Phone,,,,,,1.0,,,1.0,22.0,,,,是,是,未购买
91,210398,下午,,Digital Camera,,,,,,,,,,70.0,,,,是,是,未购买
92,781347,上午,,Perfume,,,,,,,,,,68.0,,,,是,是,未购买
93,958783,晚上,,Phone,,,,,,,,,,68.0,,,,是,是,未购买
94,1518848,凌晨,,Phone,,,,,,,,,,62.0,,,,是,是,未购买
95,51127,中午,,Phone,,,,,,,,,,69.0,,,,是,是,未购买
96,71145,中午,,Phone,,,,,,,,,,71.0,,,,是,是,未购买
97,844755,晚上,,Tea,,,,,,1.0,,,1.0,15.0,,,,是,是,未购买
98,65249,下午,,"Face Cream,Phone",,,,,,,,,,44.0,,,,是,是,未购买
99,441483,,,,,Facial Moisturizer,,,1.0,1.0,,1.0,1.0,,6.0,,,否,否,未购买
100,522611,凌晨,,Digital Camera,,,,,,,,,,65.0,,,,是,是,未购买
101,510831,晚上,,Phone,,,,,,3.0,,,3.0,14.0,,,,是,是,未购买
102,342331,中午,,Lipstick,,,,,,,,,,69.0,,,,是,是,未购买
103,1184169,凌晨,,Washing Machine,,,,,,1.0,,,1.0,8.0,,,,是,是,未购买
104,354411,凌晨,,Phone,,,,,,,,,,56.0,,,,是,是,未购买
105,134598,晚上,,Phone,,,,,,,,,,31.0,,,,是,是,未购买
106,521827,下午,,Candy,,,,,,,,,,43.0,,,,是,是,未购买
107,1257070,晚上,,Phone,,,,,,2.0,,,2.0,17.0,,,,是,是,未购买
108,1092735,晚上,,Phone,,,,,,,,,,56.0,,,,是,是,未购买
109,229860,晚上,,Eye Shadow,,,,,,,,,,37.0,,,,是,是,未购买
110,632216,,,,,,,,,,,,,,,,,否,否,未购买
111,463018,晚上,,Coat,,,,,,,,,,66.0,,,,是,是,未购买
112,1598243,,,,,Cookie,,,1.0,1.0,,1.0,1.0,,4.0,,,否,否,未购买
113,1161543,中午,,Digital Camera,,,,,,,,,,71.0,,,,是,是,未购买
114,1418049,晚上,,Coat,,,,,,2.0,,,2.0,26.0,,,,是,是,未购买
115,103171,上午,,Phone,,,,,,1.0,,,1.0,15.0,,,,是,是,未购买
116,438928,晚上,,Phone,,,,,,,,,,34.0,,,,是,是,未购买
117,929756,下午,,Nut,,,,,,1.0,,,1.0,3.0,,,,是,是,未购买
118,1176142,中午,,Facial Moisturizer,,,,,,1.0,,,1.0,26.0,,,,是,是,未购买
119,1309153,下午,,Milk,,,,,,,,,,71.0,,,,是,是,未购买
120,1034047,下午,,Coat,,,,,,,,,,60.0,,,,是,是,未购买
121,661,下午,,Phone,,,,,,,,,,65.0,,,,是,是,未购买
122,440188,晚上,,Tablet,,,,,,,,,,72.0,,,,是,是,未购买
123,1607604,,,,Coat,,,,,,,,,,,,,否,否,未购买
124,1207424,中午,,Jeans,,,,,,,,,,31.0,,,,是,是,未购买
125,1140825,上午,,Induction Cooker,,,,,,,,,,73.0,,,,是,是,未购买
126,546287,上午,,Makerup Water,,,,,,,,,,45.0,,,,是,是,未购买
127,1028639,中午,,Rice Cooker,,,,,,1.0,,,1.0,24.0,,,,是,是,未购买
128,254901,凌晨,,Phone,,,,,,,,,,71.0,,,,是,是,未购买
129,1048699,晚上,,"Coffee,Phone",,,,,,,,,,31.0,,,,是,是,未购买
130,27919,晚上,,Phone,,,,,,1.0,,,1.0,9.0,,,,是,是,未购买
131,1028340,上午,,Coffee,,,,,,,,,,37.0,,,,是,是,未购买
132,1366022,下午,,Candy,,,,,,1.0,,,1.0,24.0,,,,是,是,未购买
133,658713,下午,,Notebook,,,,,,1.0,,,1.0,14.0,,,,是,是,未购买
134,681169,"上午,晚上",,"Induction Cooker,Tablet",,,,,,,,,,49.0,,,,是,是,未购买
135,1605240,中午,,Sofa,,,,,,1.0,,,1.0,5.0,,,,是,是,未购买
136,1230213,中午,,Phone,,,,,,,,,,66.0,,,,是,是,未购买
137,1482379,晚上,,"Chocolate,Oatmeal,Phone,Tea",,,,,,1.0,,,1.0,25.0,,,,是,是,未购买
138,738330,"下午,晚上",,"Coat,Light",,,,,,2.0,,,2.0,4.0,,,,是,是,未购买
139,101404,晚上,,Facial Essence,,,,,,,,,,32.0,,,,是,是,未购买
140,569273,,,,Face Cream,,,,,1.0,,,1.0,,,,,否,否,未购买
141,193039,下午,,Coat,,,,,,,,,,55.0,,,,是,是,未购买
142,837601,下午,,Face Cream,,,,,,,,,,36.0,,,,是,是,未购买
143,1442954,中午,,Coat,,,,,,,,,,72.0,,,,是,是,未购买
144,1571509,下午,,Phone,,,,,,,,,,36.0,,,,是,是,未购买
145,365067,晚上,,Bed,,,,,,1.0,,,1.0,26.0,,,,是,是,未购买
146,701538,晚上,,Coat,,,,,,,,,,46.0,,,,是,是,未购买
147,56242,晚上,,Phone,,,,,,1.0,,,1.0,17.0,,,,是,是,未购买
148,1343543,,,,,,,,,1.0,,,1.0,,,,,否,否,未购买
149,1186100,中午,,Phone,,,,,,,,,,41.0,,,,是,是,未购买
150,1435988,,凌晨,,,,Facial Essence,,,,,,,,,31.0,,否,否,否
151,1482665,,,,,Milk Power,,,1.0,1.0,,1.0,1.0,,3.0,,,否,否,未购买
152,111402,晚上,,Tablet,,,,,,,,,,40.0,,,,是,是,未购买
153,814810,下午,,Face Cream,,,,,,,,,,47.0,,,,是,是,未购买
154,871938,凌晨,,Face Cream,,,,,,,,,,37.0,,,,是,是,未购买
155,1448410,晚上,,Washing Machine,,,,,,,,,,50.0,,,,是,是,未购买
156,151923,晚上,,Phone,,,,,,,,,,71.0,,,,是,是,未购买
157,1527989,上午,,Phone,,,,,,1.0,,,1.0,28.0,,,,是,是,未购买
158,815745,晚上,,Coat,,,,,,,,,,38.0,,,,是,是,未购买
159,1319820,"上午,下午",,"Coat,Tablet",,,,,,,,,,36.0,,,,是,是,未购买
160,391567,"下午,晚上",,"Coat,Phone",,,,,,2.0,,,2.0,1.0,,,,是,是,未购买
161,357563,凌晨,,Tea,,,,,,,,,,35.0,,,,是,是,未购买
162,1317526,晚上,,Coat,,,,,,1.0,,,1.0,29.0,,,,是,是,未购买
163,811253,下午,,Tea,,,,,,1.0,,,1.0,5.0,,,,是,是,未购买
164,1418290,"上午,晚上",,"Digital Camera,Phone",,,,,,,,,,43.0,,,,是,是,未购买
165,441978,中午,,Tea,,,,,,1.0,,,1.0,4.0,,,,是,是,未购买
166,1546203,上午,,Necklace,,,,,,,,,,38.0,,,,是,是,未购买
167,1204929,,上午,,,,Television,,,,,,,,,31.0,,否,否,否
168,562339,中午,,Coat,Coat,,,,,1.0,,,1.0,14.0,,,,是,是,未购买
169,1130009,下午,,Candy,Phone,,,,,,,,,71.0,,,,是,是,未购买
170,36482,下午,,Phone,,,,,,,,,,42.0,,,,是,是,未购买
171,1537646,"上午,下午",,"Makerup Water,Phone",,,,,,,,,,39.0,,,,是,是,未购买
172,847291,上午,,Phone,,,,,,,,,,73.0,,,,是,是,未购买
173,260679,中午,,Foundation Make-up,,,,,,1.0,,,1.0,25.0,,,,是,是,未购买
174,701642,下午,,Jeans,,,,,,,,,,73.0,,,,是,是,未购买
175,63138,下午,,Badminton,,,,,,1.0,,,1.0,13.0,,,,是,是,未购买
176,1153186,晚上,,Facial Moisturizer,,,,,,,,,,42.0,,,,是,是,未购买
177,250604,晚上,,Refrigerator,,,,,,,,,,33.0,,,,是,是,未购买
178,228433,上午,,Tea,,,,,,1.0,,,1.0,29.0,,,,是,是,未购买
179,394636,晚上,,Coat,,,,,,,,,,65.0,,,,是,是,未购买
180,1011139,中午,,Coat,,,,,,,,,,64.0,,,,是,是,未购买
181,1389191,下午,,Notebook,,,,,,1.0,,,1.0,7.0,,,,是,是,未购买
182,439010,上午,,Tablet,,,,,,,,,,59.0,,,,是,是,未购买
183,73485,上午,,Milk Power,,,,,,1.0,,,1.0,7.0,,,,是,是,未购买
184,1419111,中午,,Foundation Make-up,,,,,,1.0,,,1.0,16.0,,,,是,是,未购买
185,898527,中午,,Electric Kettle,,,,,,,,,,52.0,,,,是,是,未购买
186,734487,上午,,Phone,,,,,,,,,,60.0,,,,是,是,未购买
187,804606,上午,,Notebook,,,,,,,,,,38.0,,,,是,是,未购买
188,1254438,晚上,,Digital Camera,,,,,,1.0,,,1.0,2.0,,,,是,是,未购买
189,1254579,上午,,Face Cream,,,,,,1.0,,,1.0,24.0,,,,是,是,未购买
190,121991,上午,,Coffee,,,,,,,,,,41.0,,,,是,是,未购买
191,1323389,晚上,,Phone,,,,,,,,,,69.0,,,,是,是,未购买
192,134972,上午,,Cookie,,,,,,,,,,50.0,,,,是,是,未购买
193,1123745,中午,,Coat,,,,,,1.0,,,1.0,5.0,,,,是,是,未购买
194,139291,晚上,,Tablet,,,,,,,,,,71.0,,,,是,是,未购买
195,1603316,晚上,,Phone,,,,,,,,,,58.0,,,,是,是,未购买
196,104782,中午,,Lipstick,,,,,,1.0,,,1.0,2.0,,,,是,是,未购买
197,381537,凌晨,,Tea,,,,,,2.0,,,2.0,24.0,,,,是,是,未购买
198,1573205,上午,,Phone,,,,,,,,,,70.0,,,,是,是,未购买
199,780309,上午,,Phone,,,,,,,,,,58.0,,,,是,是,未购买
200,719805,"上午,下午,晚上",,Phone,,,,,,2.0,,,2.0,24.0,,,,是,是,未购买
201,1192998,晚上,,Notebook,,,,,,,,,,66.0,,,,是,是,未购买
202,830550,晚上,,Coat,,,,,,3.0,,,3.0,6.0,,,,是,是,未购买
203,1219888,下午,,Notebook,,,,,,1.0,,,1.0,30.0,,,,是,是,未购买
204,560784,晚上,,Refrigerator,,,,,,,,,,32.0,,,,是,是,未购买
205,1218407,"凌晨,上午,下午,晚上",,Coat,,,,,,1.0,,,1.0,27.0,,,,是,是,未购买
206,1328323,中午,,"Air Conditioner,Facial Essence,Light",,,,,,1.0,,,1.0,21.0,,,,是,是,未购买
207,806263,上午,,Football,,,,,,1.0,,,1.0,11.0,,,,是,是,未购买
208,176716,,,,,,,,,1.0,,,1.0,,,,,否,否,未购买
209,1155168,下午,,Tea,,,,,,,,,,47.0,,,,是,是,未购买
210,59021,"中午,晚上",,Tea,,,,,,,,,,64.0,,,,是,是,未购买
211,727109,下午,,Phone,,,,,,1.0,,,1.0,24.0,,,,是,是,未购买
212,376833,凌晨,,Tea,,,,,,1.0,,,1.0,11.0,,,,是,是,未购买
213,987593,,,,,,,,,1.0,,,1.0,,,,,否,否,未购买
214,197160,上午,,Notebook,,,,,,,,,,50.0,,,,是,是,未购买
215,260432,晚上,,Eye Shadow,,,,,,1.0,,,1.0,8.0,,,,是,是,未购买
216,1047753,上午,,Milk,,,,,,1.0,,,1.0,13.0,,,,是,是,未购买
217,916502,晚上,,Tea,,,,,,,,,,69.0,,,,是,是,未购买
218,1457063,晚上,,Cookie,,,,,,,,,,64.0,,,,是,是,未购买
219,216989,晚上,,Tea,,,,,,,,,,70.0,,,,是,是,未购买
220,712608,上午,,Xbox,,,,,,,,,,61.0,,,,是,是,未购买
221,330242,下午,,Face Cream,,,,,,,,,,46.0,,,,是,是,未购买
222,1332397,凌晨,,Phone,,,,,,3.0,,,3.0,8.0,,,,是,是,未购买
223,1190925,凌晨,,Coat,,,,,,,,,,70.0,,,,是,是,未购买
224,291402,晚上,,Phone,,,,,,1.0,,,1.0,29.0,,,,是,是,未购买
225,1202719,下午,,Tablet,,,,,,,,,,40.0,,,,是,是,未购买
