,customer_id,product_id,type,brand,category,shop_category,date
155942,1174854,344088,1,Huawei,Phone,Electronics,2018-03-07
162254,455341,130092,1,Other,Coat,Clothes,2018-03-23
176833,478893,131477,1,Gree,Air Conditioner,Household Eletric Appliance,2018-03-18
151802,95399,310506,1,Apple,Phone,Electronics,2018-03-30
57802,746439,296528,1,illuma,Milk Power,Mother and Infant,2018-02-26
172195,1482973,322119,1,Huawei,Tablet,Electronics,2018-03-01
99280,1080218,358237,1,Other,Phone,Electronics,2018-03-20
168601,936385,313236,1,Sumsung,Phone,Electronics,2018-04-15
172584,1258325,97227,1,Supor,Rice Cooker,Household Eletric Appliance,2018-03-16
181212,859015,31583,1,Huawei,Phone,Electronics,2018-02-26
119893,361740,151404,1,Haier,Refrigerator,Household Eletric Appliance,2018-02-05
103008,586204,355183,1,Other,Cookie,Food,2018-03-25
36580,47781,49213,1,Vivo,Phone,Electronics,2018-03-30
120504,113489,61887,1,Apple,Phone,Electronics,2018-03-12
4310,1048364,366669,1,Apple,Tablet,Electronics,2018-02-01
43490,1424651,115001,1,Other,Coat,Clothes,2018-02-06
19174,1000592,201651,1,Huawei,Phone,Electronics,2018-04-03
75858,1368605,245546,4,Joyoung,Induction Cooker,Household Eletric Appliance,2018-03-25
108088,158392,288405,1,H&M,Coat,Clothes,2018-03-18
145165,1604852,310356,1,Haier,Television,Household Eletric Appliance,2018-03-30
57734,652057,318127,1,Chando,Facial Moisturizer,Beauty Makeup,2018-02-26
36385,1099204,153599,1,Huawei,Phone,Electronics,2018-02-11
163886,712734,121062,1,Lipton,Tea,Food,2018-03-29
150509,1551750,314372,1,Loreal,Facial Essence,Beauty Makeup,2018-02-03
177516,857999,259555,1,Lipton,Tea,Food,2018-03-04
67372,913866,139700,1,Li-Ning,Football,Outdoor Sports,2018-03-24
97374,537819,43827,5,Vichy,Foundation Make-up,Beauty Makeup,2018-04-01
28878,243580,258625,1,HLA,Coat,Clothes,2018-03-22
56360,1090454,8488,1,Microsoft,Xbox,Electronics,2018-02-05
157954,1308909,249318,1,Huawei,Phone,Electronics,2018-02-01
94156,1579416,355213,5,Konka,Television,Household Eletric Appliance,2018-04-08
27512,472858,300046,1,Ton Lion,Coat,Clothes,2018-03-20
80455,152107,245587,1,Apple,Phone,Electronics,2018-02-21
126622,131374,174781,1,LittleSwan,Washing Machine,Household Eletric Appliance,2018-03-06
30848,74509,321199,4,Other,Facial Moisturizer,Beauty Makeup,2018-04-08
176175,1602314,82996,1,Innisfree,Facial Essence,Beauty Makeup,2018-02-18
148825,1342079,48156,1,Quanyou,Bed,Furniture,2018-03-04
25934,1436914,207358,1,Chando,Lipstick,Beauty Makeup,2018-03-06
26236,731582,56476,1,Sony,Digital Camera,Electronics,2018-03-03
118828,1563449,299770,1,Apple,Phone,Electronics,2018-03-16
9080,843272,177209,1,Olay,Eye Shadow,Beauty Makeup,2018-03-10
12955,732392,14786,1,illuma,Milk Power,Mother and Infant,2018-02-27
35384,7596,49053,1,Li-Ning,Badminton,Outdoor Sports,2018-04-10
34838,485130,263640,1,Redmi,Phone,Electronics,2018-03-10
41421,1515630,266844,1,Apple,Phone,Electronics,2018-03-25
29039,156098,332554,1,Konka,Washing Machine,Household Eletric Appliance,2018-02-26
150396,1382502,506,1,Huawei,Phone,Electronics,2018-03-25
168989,1193970,32274,1,Apple,Phone,Electronics,2018-02-14
61387,305515,315155,1,Other,Phone,Electronics,2018-02-04
121306,1219067,120089,1,LukFook,Necklace,Jewellery Accessories,2018-02-27
125813,93895,375362,1,Lipton,Tea,Food,2018-03-30
129446,830303,344008,1,LEDIN,Coat,Clothes,2018-03-04
110174,438478,233176,1,Apple,Tablet,Electronics,2018-03-29
182122,1566176,143323,1,Other,Phone,Electronics,2018-03-14
88006,220396,196902,1,Other,T Shirt,Clothes,2018-02-23
19241,1246948,53872,1,Huawei,Phone,Electronics,2018-03-10
